Ourcontigname,MM.royalblue
contig100021_110093_105915,0
contig100026,0
contig100031,0
contig100068,0
contig100072,0
contig100085,0
contig100105,0
contig100110_36597,0
contig10014,0
contig100147,0
contig10017,0
contig100213,0
contig100223,0
contig100227,0
contig100238,0
contig100252,0
contig100259,0
contig100270,0
contig100286,0
contig100302_114262_202031,0
contig100308_100284,0
contig100317,0
contig100342_110120,0
contig100347_112826,0
contig100349,0
contig10035,0
contig100356_120192,0.39602121077107
contig100368,0
contig100370,0
contig100371,0
contig100385,0
contig10089,0
contig10124,0
contig101271,0
contig10139,0
contig10151,0
contig10156_75121,0
contig101622_105709,0
contig101652_118512_155327_152629_13815_194650,0
contig101711,0
contig102087,0
contig102452_154741,0
contig102837,0
contig102905_207771,0
contig103066,0
contig103072,0
contig103080_193887,0
contig103143_217041,0
contig103182,0
contig103201_171449,0
contig103219_215109_185725_147264,0
contig103268,0
contig103311,0
contig103314,0
contig103319,0
contig103330,0
contig103348_204747_205079_169199,0
contig103358_172018,0
contig103363,0
contig103397,0
contig103404_119913,0
contig103410,0
contig103420_192191,0
contig103425_149272_167527_211115,0
contig103466,0
contig103472,0
contig10366_169504,0
contig103867,0
contig103881,0
contig103887,0
contig103897,0
contig103899,0
contig103904,0
contig103911,0
contig103913,0
contig103917,0
contig103920,0
contig103939,0
contig103946,0
contig103949,0
contig103956,0
contig103965,0
contig103971,0
contig103987_118237,0
contig103989,0
contig103991,0
contig103993,0
contig103994,0
contig103997_9531,0
contig104002,0
contig104025_179357,0
contig104029,0
contig104035,0
contig104037,0
contig104048,0
contig104051,0
contig104068,0
contig104083,0
contig104085,0
contig104095,0
contig104106,0
contig104108_178914,0
contig104110_177850,0
contig104111,0
contig104113,0
contig104125,0
contig104126,0
contig104128,0
contig104142_174302_152809,0
contig104145,0
contig104154,0
contig104155_53047,0
contig104156,0
contig104164_3603,0
contig104176,0
contig104181,0
contig104186,0
contig104213,0
contig104230_177771_190078,0
contig104231,0
contig104237,0
contig104240,0
contig104244_178728,0
contig104255_74669_147417,0
contig104258_202427,0
contig104263,0
contig104267,0
contig104273,0
contig104274,0
contig104281,0
contig104291,0
contig104294,0
contig104299_209878_600192,0
contig104303,0
contig104307,0
contig104309,0
